tn,dispersed,age,study,mathgrade,disposable_income,raven_correct_answers,math_answers_correct,crt_answers_correct,session,treatment,average_ip,decision_number,utility_point,corner,chose_corner,indifference_point,pizza,control,main,id_stage2_upper,pap_sample,id_stage2,avg_id_stage2,qe_ard,qe_ard_lower,qe_ard_upper,qe_rad,qe_rad_lower,qe_rad_upper,RT_avg_stage_2,d_a0_main_tr,d_a1_main_tr,d_a2_main_tr,d_g0_main_tr,d_g1_main_tr,d_g2_main_tr,d_d1_main_tr,d_d2_main_tr,d_d3_main_tr,d_d4_main_tr,d_d5_main_tr,d_t1_main_tr,d_t2_main_tr,d_t3_main_tr,d_t4_main_tr,std_rt_2_main_tr,std_math_main_tr,std_crt_main_tr,std_raven_main_tr,std_start_row_main_tr,id_stage2_sign,cb_effect
1,0,26,Naturwissenschaften,2+,400,5,1,2,1,0,,1,6,0,,65,1,1,1,,1,,,,,,,,,3.1952355,,,,,,,,,,,,,,,,0,0,0,0,0,,
1,0,26,Naturwissenschaften,2+,400,5,1,2,1,0,,2,2,0,,55,1,1,1,,1,,,,,,,,,3.1952355,,,,,,,,,,,,,,,,0,0,0,0,0,,
1,0,26,Naturwissenschaften,2+,400,5,1,2,1,0,,3,4,0,,68,1,1,1,,1,,,,,,,,,3.1952355,,,,,,,,,,,,,,,,0,0,0,0,0,,
1,0,26,Naturwissenschaften,2+,400,5,1,2,1,0,,4,5,0,,77,1,1,1,,1,,,,,,,,,3.1952355,,,,,,,,,,,,,,,,0,0,0,0,0,,
1,0,26,Naturwissenschaften,2+,400,5,1,2,1,0,,5,3,0,,37,1,1,1,,1,,,,,,,,,3.1952355,,,,,,,,,,,,,,,,0,0,0,0,0,,
1,0,26,Naturwissenschaften,2+,400,5,1,2,1,0,,6,7,0,,54,1,1,1,,1,,,,,,,,,3.1952355,,,,,,,,,,,,,,,,0,0,0,0,0,,
1,0,26,Naturwissenschaften,2+,400,5,1,2,1,0,,7,8,0,,52,1,1,1,,1,,,,,,,,,3.1952355,,,,,,,,,,,,,,,,0,0,0,0,0,,
1,0,26,Naturwissenschaften,2+,400,5,1,2,1,0,,8,1,0,0,83,1,1,1,,1,,,,,,,,,3.1952355,,,,,,,,,,,,,,,,0,0,0,0,0,,
1,0,26,Naturwissenschaften,2+,400,5,1,2,1,0,61.375,9,8,0,,4,1,1,1,4,1,4,4,.022346368,.022346368,.022346368,.021769211,.021192053,.021192053,3.1952355,,,,,,,,,,,,,,,,0,0,0,0,0,1,1
2,0,24,Medizin,1,400,5,1,3,1,1,,1,4,0,,10,1,0,1,,1,,,,,,,,,5.966825,-.28,.69999999,-.41999999,-.41999999,.44,-.02,.81,-.25,-.22,-.20999999,-.13,-.20999999,.68000001,-.25,-.22,-.50254846,-1.3476834,1.0056767,-.42242518,1.4786155,,
2,0,24,Medizin,1,400,5,1,3,1,1,,2,8,0,,10,1,0,1,,1,,,,,,,,,5.966825,-.28,.69999999,-.41999999,-.41999999,.44,-.02,.81,-.25,-.22,-.20999999,-.13,-.20999999,.68000001,-.25,-.22,-.50254846,-1.3476834,1.0056767,-.42242518,1.5623032,,
2,0,24,Medizin,1,400,5,1,3,1,1,,3,5,0,,10,1,0,1,,1,,,,,,,,,5.966825,-.28,.69999999,-.41999999,-.41999999,.44,-.02,.81,-.25,-.22,-.20999999,-.13,-.20999999,.68000001,-.25,-.22,-.50254846,-1.3476834,1.0056767,-.42242518,.083820537,,
2,0,24,Medizin,1,400,5,1,3,1,1,,4,2,0,,12,1,0,1,,1,,,,,,,,,5.966825,-.28,.69999999,-.41999999,-.41999999,.44,-.02,.81,-.25,-.22,-.20999999,-.13,-.20999999,.68000001,-.25,-.22,-.50254846,-1.3476834,1.0056767,-.42242518,-1.1993908,,
