tn,condition,treatment,diff_bs_choice,disp_2,disp_4,diff_bs_time_std,math_std,crt_std,diff_bs_sign,diff_bs_time_treatment_only_std,crt_treatment_only_std,math_treatment_only_std
1,1,1,,1,0,,-.66654927,.3885279,,,,
1,2,1,,1,0,,-.66654927,.3885279,,,,
1,3,1,-.083333313,0,1,.74673921,-.66654927,.3885279,-1,,,
1,4,1,,0,1,,-.66654927,.3885279,,,,
1,5,1,-.29583329,0,0,.29323846,-.66654927,.3885279,-1,,,
1,6,1,,0,0,,-.66654927,.3885279,,,,
1,7,1,-.1895833,,,.51998895,-.66654927,.3885279,-1,.443771,.2888141,-.72288823
1,8,1,,,,,-.66654927,.3885279,,,,
2,1,1,,1,0,,-.27642497,-1.3727986,,,,
2,2,1,,1,0,,-.27642497,-1.3727986,,,,
2,3,1,.56333333,0,1,1.0291543,-.27642497,-1.3727986,1,,,
2,4,1,,0,1,,-.27642497,-1.3727986,,,,
2,5,1,.56416667,0,0,.98089743,-.27642497,-1.3727986,1,,,
2,6,1,,0,0,,-.27642497,-1.3727986,,,,
2,7,1,.56374997,,,1.0050259,-.27642497,-1.3727986,1,.89537525,-1.4694607,-.325192
2,8,1,,,,,-.27642497,-1.3727986,,,,
3,1,1,,1,0,,2.259383,.3885279,,,,
3,2,1,,1,0,,2.259383,.3885279,,,,
3,3,1,0,0,1,.85648912,2.259383,.3885279,0,,,
3,4,1,,0,1,,2.259383,.3885279,,,,
3,5,1,0,0,0,.66933501,2.259383,.3885279,0,,,
3,6,1,,0,0,,2.259383,.3885279,,,,
3,7,1,0,,,.76291209,2.259383,.3885279,0,.66994989,.2888141,2.2598333
3,8,1,,,,,2.259383,.3885279,,,,
4,1,1,,1,0,,-.4714871,-1.3727986,,,,
4,2,1,,1,0,,-.4714871,-1.3727986,,,,
4,3,1,0,0,1,.24923706,-.4714871,-1.3727986,0,,,
4,4,1,,0,1,,-.4714871,-1.3727986,,,,
4,5,1,0,0,0,.49174893,-.4714871,-1.3727986,0,,,
4,6,1,,0,0,,-.4714871,-1.3727986,,,,
4,7,1,0,,,.37049299,-.4714871,-1.3727986,0,.30457953,-1.4694607,-.5240401
4,8,1,,,,,-.4714871,-1.3727986,,,,
5,1,1,,1,0,,-.4714871,-.49213535,,,,
5,2,1,,1,0,,-.4714871,-.49213535,,,,
5,3,1,-.083333373,0,1,.5329182099999999,-.4714871,-.49213535,-1,,,
5,4,1,,0,1,,-.4714871,-.49213535,,,,
5,5,1,-.00083333254,0,0,.6156220999999999,-.4714871,-.49213535,-1,,,
5,6,1,,0,0,,-.4714871,-.49213535,,,,
5,7,1,-.042083383,,,.57427019,-.4714871,-.49213535,-1,.49431071,-.59032333,-.5240401
5,8,1,,,,,-.4714871,-.49213535,,,,
